1,1.4,1.2,0.7,3.5,22.5,2.0,1.7,1.5,1.3,2.8,1.0,7.8,0.7,1.2,1.4,1.5,1.7,1.4,1.3,1.2,1.6,0.9,1.8,1.2,1.3,1.0,0.9,1.1,1.0,1.3,1.0,1.6,5.3,1.2,1.4,1.0,1.9,24.4,3.0,1.4,3.0,1.3,1.5,2.2,1.2,1.3,0.9,1.3,2.2,1.3,1.2,1.2,1.1,1.2,1.1,3.0,1.4,1.2,2.4,0.8,1.0,1.5,1.3,0.7,0.6,2.8,1.0,1.3,1.1,1.3,1.2,2.5,15.7,0.9,2.0,1.3,1.1,0.8,1.7,1.2,0.9,2.1,1.1,1.3,0.9,1.1,1.3,1.1,1.1,1.3,1.0,0.9,1.1,1.7,0.8,1.0
1,1.3,0.8,0.7,0.5,3.2,2.3,0.9,1.1,1.1,0.5,0.7,0.2,1.7,0.9,1.4,1.6,0.7,2.2,2.4,1.2,1.0,1.1,0.8,1.3,1.7,0.7,1.7,0.8,1.2,1.7,1.3,0.5,0.8,1.4,0.9,1.2,2.1,2.6,0.7,0.6,0.7,1.5,1.8,0.7,0.8,1.4,1.0,0.9,1.4,2.0,1.3,1.3,1.1,2.0,0.9,0.7,1.5,1.3,0.5,0.7,0.7,8.4,1.0,0.5,1.1,1.9,0.9,0.2,2.1,1.2,1.0,30.7,1.0,1.3,1.5,1.0,1.3,1.3,1.2,1.1,1.2,0.9,0.7,0.8,1.0,1.0,0.8,1.0,1.2,0.9,0.7,0.8,0.9,1.3,1.2,0.9
1,1.2,0.5,0.4,1.2,4.8,2.5,0.7,1.1,0.7,0.5,0.9,0.1,1.6,1.9,1.5,1.0,1.1,3.6,2.2,0.9,1.8,0.9,1.6,1.6,1.3,1.6,1.6,2.2,0.7,1.4,1.2,0.7,1.6,1.5,1.2,1.2,2.7,2.4,0.2,0.7,1.4,2.1,1.2,2.1,1.0,1.0,1.2,0.9,1.1,2.9,1.1,2.0,1.2,1.2,0.9,0.2,2.3,0.7,1.9,0.7,1.7,2.4,1.2,1.0,0.6,4.2,0.8,0.1,2.3,1.2,1.3,25.1,1.4,1.2,1.0,1.9,1.1,1.1,1.1,1.0,0.9,1.6,0.5,1.3,1.4,1.0,1.0,1.0,1.0,0.7,0.6,0.9,0.9,1.2,1.4,0.7
1,1.4,0.6,0.2,1.4,1.5,2.5,1.0,1.0,0.5,0.8,0.9,8.9,1.5,0.8,1.2,1.1,1.4,1.2,2.2,1.5,1.4,1.2,1.3,1.8,0.9,1.1,1.5,1.0,0.9,0.7,1.0,1.3,1.7,1.0,1.2,1.1,3.1,1.2,0.3,0.5,1.5,1.3,1.4,1.7,0.9,1.2,1.1,1.1,1.5,3.2,0.8,2.5,1.2,2.7,0.8,0.3,1.6,1.5,1.4,0.4,1.0,4.7,1.9,0.5,0.9,4.1,0.7,0.2,1.7,1.2,1.9,19.1,1.1,1.0,0.7,1.3,1.4,1.1,1.5,0.9,0.9,1.5,1.1,1.2,1.1,0.9,0.9,0.9,1.0,0.9,0.9,0.9,1.2,0.9,1.8,0.9
1,9.3,3.1,2.2,37.2,279.5,1.3,2.4,56.5,10.3,2.2,9.8,0.0,1.2,1.3,2.1,4.6,3.7,0.3,1.4,14.4,1.0,0.9,1.7,1.1,0.8,1.2,1.4,1.1,1.3,3.3,1.5,1.7,2.2,1.5,1.0,1.5,1.9,233.2,4.9,1.8,6.8,0.8,3.5,1.9,1.1,1.2,1.0,0.9,10.8,2.2,0.8,0.7,0.7,0.9,1.8,4.9,1.0,1.4,0.3,1.7,2.0,5.5,1.3,3.1,1.2,4.1,22.6,3.3,1.4,1.8,1.0,0.3,4.6,0.9,1.4,1.5,0.4,1.0,1.3,1.4,1.6,1.0,0.8,1.1,0.4,0.7,1.6,1.4,1.0,0.9,0.7,0.9,1.3,4.0,0.9,1.0
1,21.5,5.6,4.0,17.5,46.2,82.5,0.2,1.7,1.2,0.5,0.6,149.3,2.9,11.8,20.8,2.3,0.7,69.1,46.7,1.4,3.2,0.3,3.0,1.5,4.4,28.8,0.8,0.1,0.8,2.1,0.9,0.0,1.7,1.3,4.6,0.6,110.1,126.1,52.9,1.5,4.7,7.3,4.6,1.6,5.1,0.2,0.6,1.1,7.7,99.8,4.1,1.0,1.4,4.6,1.3,52.9,4.0,0.0,129.0,8.4,11.1,131.1,1.2,3.3,3.1,62.4,7.6,2.9,1.8,12.1,1.3,2.4,0.9,1.5,3.9,4.4,2.6,3.0,0.6,1.2,0.7,0.9,0.2,1.3,10.4,25.4,0.7,1.2,0.6,0.8,1.4,0.8,0.6,1.0,0.8,6.1
1,6.7,3.7,4.3,5.5,1.5,2.5,1.4,9.6,1.7,0.9,3.5,0.1,1.3,1.5,1.6,6.9,5.6,2.1,2.5,0.9,0.7,0.9,0.5,1.7,0.9,0.6,1.7,0.5,1.0,1.6,1.1,0.3,1.2,2.6,0.5,0.9,2.0,1.9,1.3,0.5,2.5,0.8,3.3,0.6,0.8,0.8,0.9,1.1,6.3,2.6,0.8,0.8,1.0,1.3,1.2,1.3,1.0,1.0,2.9,0.9,1.1,3.4,1.2,1.5,1.4,3.6,3.2,0.6,1.7,1.7,1.1,0.7,1.2,0.8,1.1,0.8,0.9,0.9,0.7,1.0,2.4,0.7,1.1,0.9,2.3,1.4,1.3,1.0,0.5,1.1,1.1,1.2,0.9,8.2,0.9,1.4
1,32.7,7.1,7.4,4.7,3.1,2.2,0.9,14.6,3.7,0.7,2.6,2.2,1.1,1.3,2.2,9.8,1.0,2.3,1.5,5.1,1.1,1.0,0.8,1.3,0.9,1.7,1.1,0.8,0.5,2.7,0.9,1.8,0.8,1.9,0.8,0.9,9.9,2.5,2.8,1.7,3.5,1.1,5.6,1.1,1.1,0.8,1.0,1.0,4.8,4.0,0.6,0.5,1.1,1.2,1.5,2.8,0.8,0.4,2.9,0.7,2.2,3.8,1.5,3.7,1.0,7.4,12.5,0.7,1.5,2.0,1.0,0.1,0.9,0.9,2.9,1.3,0.5,0.9,1.7,0.9,2.6,0.8,0.6,1.2,0.6,1.6,1.5,0.8,1.5,0.9,0.6,1.3,1.0,3.8,1.1,0.9
1,5.1,3.1,1.5,4.9,28.5,3.7,2.0,2.6,3.5,2.4,1.4,19.5,6.0,1.8,4.7,1.5,1.4,6.9,2.1,3.0,0.6,1.2,0.6,1.0,0.9,1.0,1.3,9.1,0.9,1.4,1.2,1.8,12.9,1.1,0.9,1.1,5.6,19.2,12.1,2.7,7.5,1.6,3.0,1.4,1.3,0.5,1.1,0.9,15.6,2.6,0.9,0.5,1.1,1.2,1.7,11.9,1.0,0.8,1.4,0.8,3.2,2.6,1.1,1.3,1.7,146.7,2.4,0.4,1.3,1.5,0.9,8.5,5.8,0.9,1.6,0.7,0.5,1.0,1.0,0.9,0.9,0.5,0.8,0.6,1.8,8.9,1.1,1.2,3.4,1.1,0.8,1.0,0.9,1.8,1.1,1.0
1,6.2,3.2,1.4,6.8,4.5,3.6,2.3,2.5,2.8,2.5,1.5,9.0,4.1,1.5,7.3,1.6,0.7,2.1,2.6,2.8,0.7,1.4,0.7,0.8,0.8,1.1,1.2,6.8,0.9,1.3,1.2,0.9,11.6,1.0,0.8,1.1,4.0,6.9,12.1,2.7,7.5,1.6,1.4,1.4,1.3,0.5,1.1,0.9,15.6,2.2,1.0,0.8,1.1,0.6,1.8,7.4,1.1,1.0,1.9,0.8,3.0,3.4,1.1,0.8,1.5,152.1,2.0,0.4,1.5,1.5,1.0,6.2,10.8,1.0,1.5,0.6,0.6,1.1,0.8,1.0,0.8,0.7,1.0,0.6,3.3,3.4,0.7,1.3,8.4,1.2,0.9,0.9,0.9,1.8,1.2,1.2
1,8.5,6.1,1.6,30.2,78.6,75.2,5.2,4.2,11.2,0.7,1.4,172.2,3.4,9.5,11.0,2.2,3.6,12.1,32.0,1.5,3.1,1.1,2.1,1.6,1.8,15.5,2.3,1.4,2.2,5.4,1.7,0.0,1.1,17.4,0.6,1.1,62.2,59.9,8.3,1.3,15.5,4.3,5.8,1.7,1.6,1.8,1.1,1.2,16.8,55.6,1.7,2.8,1.1,0.0,1.7,8.3,3.2,1.5,80.9,2.2,6.5,52.7,1.4,0.2,1.6,23.1,5.5,0.5,0.9,8.3,1.6,1.7,54.0,2.9,2.6,1.9,1.1,1.1,0.1,1.0,0.5,1.4,0.4,0.7,6.4,10.9,0.2,1.2,0.0,0.8,1.3,0.8,0.8,3.5,0.9,4.0
1,3.6,3.8,1.1,5.7,27.3,18.4,3.6,1.5,6.1,0.4,0.6,95.3,3.2,1.3,3.7,1.1,1.7,4.2,7.3,1.4,2.6,1.1,1.2,1.1,1.8,5.3,1.9,0.7,1.9,3.4,1.4,0.0,3.4,10.0,1.0,1.2,33.9,18.9,2.6,0.7,4.1,2.9,2.2,0.8,1.2,1.4,1.1,0.9,8.2,14.8,1.2,1.3,0.9,0.0,1.0,2.6,2.5,0.7,6.8,1.4,3.0,16.0,0.7,0.4,1.2,7.3,1.3,0.6,1.6,2.2,1.0,8.6,18.4,2.2,1.8,1.7,1.3,1.5,0.1,1.1,0.9,0.7,0.7,0.6,2.2,9.1,0.2,0.5,0.1,0.9,0.9,0.8,0.8,2.2,1.6,1.6
2,2.0,1.0,0.8,1.9,2.7,3.7,1.0,2.7,1.3,1.0,2.1,0.9,1.3,0.7,1.3,0.8,1.3,1.4,1.2,1.4,1.1,1.0,1.0,1.2,1.0,1.9,1.1,1.1,0.8,0.7,1.0,1.1,1.0,0.9,0.8,0.8,5.5,5.2,1.1,1.0,1.5,1.3,0.7,1.1,1.3,0.9,1.1,1.1,1.0,1.9,0.6,1.0,1.0,0.6,1.5,1.1,0.7,0.7,1.5,1.0,2.1,1.9,1.2,2.7,0.9,1.8,0.4,1.1,0.7,1.5,1.0,2.5,0.7,0.8,1.2,1.1,0.4,1.0,1.4,1.0,1.4,1.3,0.7,1.0,1.1,1.1,0.8,0.6,1.2,1.2,0.6,1.2,1.0,1.6,1.0,1.0
2,2.3,1.4,1.3,2.7,0.8,1.1,1.0,5.1,1.2,0.9,1.7,5.6,1.1,0.7,0.9,1.0,0.9,0.5,1.4,2.2,1.1,1.6,1.2,0.8,1.2,1.1,1.4,1.4,1.5,1.2,1.5,1.2,1.2,1.0,1.3,1.2,1.2,1.7,1.9,1.2,1.1,1.2,1.6,1.2,1.3,1.2,1.1,1.0,1.3,1.2,1.1,1.3,1.2,1.1,1.6,1.9,1.0,1.2,0.9,1.8,1.2,0.8,1.7,0.9,1.0,0.9,1.2,1.6,0.8,0.9,1.1,0.4,0.8,1.0,1.2,1.3,1.0,1.3,1.8,1.3,1.3,1.1,1.1,1.0,1.6,1.2,0.7,1.3,1.6,1.1,1.0,0.8,1.1,1.4,1.0,1.0
2,3.3,1.5,0.2,19.7,134.4,10.6,0.4,0.5,0.4,0.1,0.6,40.1,7.5,3.8,22.9,1.5,2.2,0.3,10.8,2.6,1.8,0.6,4.4,3.5,1.8,8.2,2.2,2.3,0.4,0.8,0.5,1.0,1.7,2.3,1.5,0.7,93.9,324.1,1.6,1.2,7.4,1.5,2.0,3.6,0.6,0.7,1.4,1.8,2.1,28.6,2.9,0.8,1.7,0.0,0.8,1.6,3.0,1.0,37.5,3.0,14.0,36.5,1.1,1.6,0.7,1.1,0.5,3.8,0.9,15.8,4.2,0.2,0.3,2.2,23.0,3.4,2.0,1.2,0.2,0.4,0.6,0.7,0.2,0.3,3.2,5.2,0.2,0.8,1.7,0.9,1.3,0.7,1.1,3.4,4.5,0.4
2,10.2,3.8,1.6,9.0,6.2,1.4,3.4,15.4,3.1,4.7,3.1,18.2,1.5,1.1,1.6,0.9,1.4,1.0,1.9,4.7,1.6,2.0,2.0,0.9,1.1,1.2,2.0,1.3,1.9,4.1,2.0,1.1,1.1,1.6,1.4,1.3,1.3,11.2,2.2,1.8,2.7,1.6,1.4,2.1,1.8,1.4,1.4,0.9,5.6,0.8,1.6,2.0,1.1,1.3,2.6,2.2,1.9,1.3,0.6,1.2,1.4,0.9,1.5,0.9,0.8,3.4,1.4,1.3,1.7,1.1,1.4,1.5,24.6,1.2,1.4,2.1,1.3,1.4,2.1,1.4,1.0,1.8,1.1,1.2,1.0,1.2,0.7,1.3,1.2,0.9,0.9,0.8,1.1,1.6,1.3,0.6
2,3.2,1.8,1.1,4.6,2.6,1.6,1.0,1.1,1.7,1.3,1.4,0.3,1.5,1.4,1.2,0.6,0.4,1.3,1.2,4.1,0.7,1.2,0.5,0.8,1.0,0.9,0.9,1.0,0.8,1.5,1.1,0.8,1.2,0.7,0.8,1.1,1.6,2.0,4.8,0.9,2.2,0.9,0.6,0.4,0.9,1.0,1.0,0.9,5.9,1.3,0.7,0.5,1.1,1.6,1.0,4.8,1.0,0.9,1.1,0.6,1.4,1.6,1.2,2.4,1.2,1.1,1.6,0.9,1.1,1.1,0.8,1.1,1.1,0.9,0.9,0.8,0.6,1.0,1.2,0.9,1.6,0.5,1.0,0.6,1.9,3.0,1.4,1.1,1.2,0.9,0.7,1.1,0.9,1.1,0.9,1.6
2,19.6,2.0,1.8,4.1,2.4,2.7,1.0,0.9,9.2,2.6,0.9,0.4,0.9,1.3,1.3,1.0,0.0,3.2,2.7,2.2,1.3,0.9,1.5,1.0,1.2,1.6,0.6,0.9,0.8,1.2,1.0,0.5,1.2,1.3,1.1,1.0,2.7,4.1,10.5,2.0,6.5,1.7,1.0,1.4,1.2,0.8,1.0,0.9,9.3,1.8,1.0,1.2,1.2,1.6,1.0,10.5,1.5,1.2,2.2,1.0,1.3,1.8,1.4,4.1,1.0,1.0,3.1,1.0,1.8,1.4,1.0,0.1,7.2,0.9,1.0,1.5,0.9,1.0,1.3,1.0,1.1,1.5,1.2,1.5,0.8,2.4,1.5,1.0,1.5,1.0,0.8,1.1,1.0,1.0,1.0,1.1
2,1.8,1.5,0.9,6.6,0.4,2.3,0.8,2.6,1.4,0.7,2.1,1.5,1.0,0.9,1.1,0.8,1.2,1.1,1.4,5.1,2.2,0.8,2.4,1.5,0.7,2.0,0.9,0.6,0.5,4.9,1.0,1.1,0.8,1.6,1.0,0.7,2.9,0.2,1.3,0.8,6.5,1.9,0.6,4.2,0.9,0.5,1.0,1.1,4.0,2.4,0.8,1.5,1.0,0.7,1.2,1.3,1.1,0.8,1.3,1.0,1.3,1.3,1.0,1.7,0.6,1.0,1.4,0.5,0.8,1.4,0.9,0.3,1.2,0.8,0.5,3.0,0.4,1.3,1.2,1.0,1.6,1.7,0.8,2.0,0.8,0.8,1.5,1.0,0.8,0.8,0.6,1.1,1.0,3.2,0.8,0.9
2,1.3,0.7,0.7,2.3,1146.3,1.2,2.6,1.1,1.2,1.9,1.0,0.1,1.5,1.3,3.2,1.6,2.5,0.2,1.3,1.9,1.1,1.3,1.5,0.9,0.9,1.1,1.1,1.8,1.1,0.9,1.1,1.2,2.0,0.9,1.1,1.3,4.6,609.4,3.8,0.8,1.6,0.9,1.6,1.3,1.4,1.9,0.9,1.0,1.2,0.7,1.0,0.8,0.8,0.9,1.0,3.8,1.7,1.4,0.6,1.4,1.4,0.8,1.1,0.8,1.0,1.7,1.3,1.3,0.8,1.3,0.8,0.6,5.3,1.1,1.4,1.0,1.0,1.1,0.7,1.2,1.1,0.8,0.5,0.8,0.4,0.6,1.0,1.0,0.7,1.2,0.5,1.0,1.1,0.7,0.9,1.0
2,1.1,0.8,0.6,1.1,1.7,1.0,1.0,1.0,1.2,2.1,1.1,0.3,1.1,1.3,1.0,0.9,0.6,2.6,0.8,0.7,0.7,0.9,0.7,1.3,1.5,0.9,1.2,0.8,1.0,1.3,1.0,0.5,1.2,0.9,0.9,1.0,0.7,0.9,4.6,0.5,0.8,1.0,0.7,0.4,1.1,0.9,1.3,0.9,1.0,0.6,0.8,0.7,0.9,0.9,0.8,4.6,0.9,1.0,0.7,0.9,1.6,0.6,1.1,1.3,1.5,0.3,0.9,0.6,0.8,0.8,0.8,1.1,1.3,0.9,0.9,0.7,0.8,1.0,1.0,1.0,0.9,0.6,0.7,0.7,1.7,2.4,0.9,0.8,1.2,1.0,0.8,1.0,1.0,1.2,0.9,1.5
2,1.6,0.9,0.7,3.7,132.4,2.0,6.3,2.4,2.6,8.5,1.3,1.2,1.3,2.3,2.7,1.1,1.5,0.1,0.4,2.8,0.2,1.4,0.7,0.8,0.7,0.2,1.2,1.5,1.1,1.3,1.1,2.4,6.9,0.7,0.6,1.2,1.0,94.2,4.1,0.5,1.9,0.4,1.4,0.3,0.9,2.4,1.0,1.2,1.5,0.5,1.3,0.6,0.6,0.5,1.3,4.1,0.2,1.6,0.6,1.0,1.0,1.6,1.4,0.9,1.1,11.8,1.6,0.7,0.9,1.6,0.9,0.8,9.6,0.9,1.2,0.5,0.8,0.9,1.8,1.2,1.0,1.1,1.0,0.7,0.9,0.5,1.3,1.1,1.8,1.4,0.8,1.0,1.2,1.9,0.8,1.0
2,1.2,1.5,0.9,4.0,3.3,2.3,2.6,1.1,2.1,8.3,1.0,10.0,1.3,2.7,2.2,1.1,1.2,4.6,2.7,1.3,0.7,1.0,0.6,0.9,1.2,0.8,1.3,2.6,1.1,2.5,1.2,1.2,4.1,1.0,0.8,1.0,3.6,6.0,11.6,0.5,1.6,0.9,1.0,0.4,0.8,1.1,1.2,1.0,1.7,1.8,1.0,0.6,1.2,1.5,1.4,11.6,0.8,0.9,3.6,0.8,1.2,2.4,1.1,0.8,1.4,5.8,0.9,0.6,1.1,1.3,0.8,1.2,3.9,1.1,1.6,0.7,0.8,1.1,1.1,1.1,1.2,0.5,0.8,0.7,0.5,4.3,1.3,1.2,1.2,1.1,0.9,0.9,1.0,1.7,0.9,0.9
2,1.6,1.2,0.8,1.6,3.3,1.2,2.1,1.5,2.2,8.7,1.2,1.7,1.5,2.7,1.8,1.4,0.8,0.3,1.4,1.5,0.7,1.0,0.5,1.0,1.1,0.7,1.2,2.0,0.9,2.3,1.0,1.0,2.9,1.0,0.8,1.0,1.6,3.5,9.5,0.5,1.6,0.9,1.2,0.4,0.8,1.0,1.0,1.0,1.9,1.1,0.8,0.6,1.2,0.9,1.1,9.5,0.7,1.2,1.0,0.9,1.4,1.2,1.3,1.1,1.3,5.0,1.0,0.5,0.9,1.3,0.9,1.7,4.5,1.0,1.4,0.7,0.6,1.0,1.1,1.1,1.1,0.6,0.7,0.7,1.3,2.3,1.1,1.1,1.2,1.0,0.9,1.0,1.0,2.0,1.0,1.1
2,1.4,1.1,0.3,2.0,0.7,2.0,2.5,2.3,2.3,6.4,1.2,11.0,1.0,1.7,3.2,1.4,0.5,1.1,1.6,1.9,1.2,0.9,1.2,1.3,0.7,0.9,1.2,1.1,0.4,3.0,0.8,1.8,4.6,2.0,0.7,0.8,4.4,0.3,2.0,0.4,5.6,1.1,0.6,1.5,0.8,0.7,1.1,1.1,2.1,2.7,0.5,1.2,1.3,1.5,1.7,2.0,0.9,1.1,0.5,0.7,1.3,2.9,1.3,2.0,0.8,7.1,0.5,0.2,1.0,1.7,1.1,2.1,5.5,0.9,0.7,1.2,0.8,0.9,0.9,0.9,1.1,1.5,0.6,1.2,2.1,1.3,1.1,0.8,1.0,1.0,0.8,1.1,1.1,1.2,0.9,1.1
2,1.9,0.9,0.4,3.1,356.3,0.7,6.0,2.9,2.3,7.1,1.2,1.8,1.1,1.3,2.3,2.5,2.1,0.8,0.6,2.7,0.4,1.5,0.9,0.7,0.9,0.2,1.4,2.0,1.2,1.5,1.2,1.6,3.3,0.9,0.8,1.3,2.9,223.7,3.8,0.5,2.5,0.6,1.7,0.4,1.1,2.1,0.8,1.1,2.1,0.9,0.8,0.8,0.8,0.9,1.6,3.8,0.4,1.0,0.7,0.9,0.8,1.2,1.6,0.5,1.4,8.0,1.5,0.7,0.8,1.7,1.0,1.2,17.5,1.0,1.5,0.7,1.0,1.1,1.7,1.4,0.9,1.0,1.0,0.7,2.6,0.9,0.8,1.1,1.6,1.4,0.8,0.9,1.2,1.5,0.8,1.0
2,2.2,1.3,0.7,5.0,20.0,1.2,2.3,1.2,2.0,8.8,0.9,1.5,1.2,2.7,1.6,1.0,0.9,1.4,2.1,1.2,0.8,1.0,0.8,0.8,1.5,0.8,1.5,1.5,1.3,2.6,1.3,0.6,1.7,1.0,1.0,1.1,3.0,15.4,8.0,0.5,1.7,1.2,0.8,0.4,1.0,1.1,1.3,0.9,2.1,0.8,1.0,0.7,1.1,1.4,1.4,8.0,0.9,1.0,2.8,0.8,2.3,0.9,1.4,0.8,1.8,3.0,1.1,0.6,1.1,1.2,0.9,0.5,5.4,1.1,1.6,0.9,0.8,1.2,1.1,1.2,1.0,0.5,0.9,0.7,1.4,1.9,0.8,1.3,1.1,1.0,1.0,0.9,1.0,1.9,0.9,1.4
